ID Comet;NÚMERO de Estación ;NOMBRE;DIRECCIÓN;BARRIO;COMUNA;EMPLAZAMIENTO;LATITUD;LONGITUD
264;283;BALBIN II;Crisólogo Larralde 3811;SAAVEDRA;COMUNA 12;VEREDA;-34.555906184137925;-58.480964329037995
265;361;PLAZA DON SEGUNDO SOMBRA;Santander 2347;FLORES;COMUNA 7;VEREDA;-34.64195021386397;-58.45052006658483
267;315;BEIRO Y SAN MARTIN;Av. Francisco Beiro 3209;VILLA DEVOTO;COMUNA 11;VEREDA;-34.5976;-58.4985
268;399;GARCIA DEL RIO;Av. García del Río 3182;SAAVEDRA;COMUNA 12;PLAZA;-34.5503;-58.477
269;260;SAN MIGUEL DE GARICOITS;Virrey Loreto 3418;COLEGIALES;COMUNA 13;PLAZA;-34.5772;-58.4576
270;370;BEAUCHEF;Beauchef 1995;PARQUE CHACABUCO;COMUNA 7;CALZADA;-34.6401;-58.4302
271;365;VENANCIO FLORES;Gral. Venancio Flores 3181;FLORESTA;COMUNA 10;VEREDA;-34.6301;-58.4743
273;223;GAINZA;Gral. Martín de Gainza 494;CABALLITO;COMUNA 6;CALZADA;-34.6168;-58.4467
275;256;PLAZA NORUEGA;Amenabar 2170;BELGRANO;COMUNA 13;PLAZA;-34.5623;-58.4592
277;292;PLAZA BOLIVIA;Av. Del Libertador 4976;PALERMO;COMUNA 14;VEREDA;-34.5636;-58.4366
278;233;MONROE;Superi 2519;COGHLAN;COMUNA 12;CALZADA;-34.5641;-58.4697
280;222;SIMON BOLIVAR;Baldomero Fernandez Moreno 1701;PARQUE CHACABUCO;COMUNA 7;CALZADA;-34.6336;-58.4501
281;350;PLAZA IRLANDA;Av. Gaona 2200;CABALLITO;COMUNA 6;PLAZA;-34.6136;-58.4585
284;229;RIGLOS;Riglos 1037;PARQUE CHACABUCO;COMUNA 7;CALZADA;-34.6311;-58.435
289;255;BARRANCAS DE BELGRANO;Av. Virrey Vertiz 1909;BELGRANO;COMUNA 13;PLAZA;-34.5599;-58.4482
291;244;UADE;Lima 750;MONSERRAT;COMUNA 1;VEREDA;-34.617;-58.3815
299;221;CULPINA;Culpina 121;FLORES;COMUNA 7;CALZADA;-34.6316;-58.4662
301;309;UTN II;Mozart 2391;VILLA LUGANO;COMUNA 10;VEREDA;-34.6606;-58.4675
302;340;PLAZA NUEVA POMPEYA;Traful 3800;NUEVA POMPEYA;COMUNA 4;PLAZA;-34.6517;-58.4141
304;395;AGRONOMIA II;Av. Francisco Beiró 2120;AGRONOMIA;COMUNA 15;VEREDA;-34.5891;-58.4847
307;341;COMUNA 4;Av. Perito Moreno 2881;NUEVA POMPEYA;COMUNA 4;VEREDA;-34.6500;-58.4248
308;251;SOLAR DE LA ABADÍA;Maure 1819;PALERMO;COMUNA 14;VEREDA;-34.5677;-58.4369
309;298;PLAZA DR. JUAN B. TERAN;Nogoya 5539;VILLA REAL;COMUNA 10;VEREDA;-34.6217;-58.5199
310;356;ESTACION LUGANO;Martiniano Leguizamón 4401;VILLA LUGANO;COMUNA 8;CALZADA;-34.67946504459158;-58.47423242843683
311;213;HOSPITAL ALVEAR;Av. Warnes 2626;LA PATERNAL;COMUNA 15;VEREDA;-34.5971;-58.4758
316;205;SAN MARTIN;Cucha Cucha 1471;VILLA CRESPO;COMUNA 15;CALZADA;-34.6057;-58.4532
318;285;ESPINOSA;Espinosa 1785;VILLA CRESPO;COMUNA 15;CALZADA;-34.604;-58.4572
322;289;MONTAÑESES;Montañeses 2786;BELGRANO;COMUNA 13;CALZADA;-34.5514;-58.4541
323;240;ECHEVERRIA;Vidal 1981;BELGRANO;COMUNA 13;CALZADA;-34.5652;-58.4594
324;280;JURAMENTO;Juramento 5209;VILLA URQUIZA;COMUNA 12;CALZADA;-34.579;-58.4841
327;366;VILLA OLIMPICA;Escalada 4347;VILLA LUGANO;COMUNA 8;PLAZOLETA;-34.6767;-58.4543
329;100;PLAZA GURRUCHAGA;Gurruchaga 1078;VILLA CRESPO;COMUNA 15;CALZADA;-34.5932;-58.4353
330;148;LA PATERNAL;Punta Arenas 1798 ;LA PATERNAL;COMUNA 15;VEREDA;-34.600832;-58.472058
333;203;BEIRO;Av. Beiró 3572;VILLA DEVOTO;COMUNA 11;VEREDA;-34.6007;-58.5033
335;206;GALICIA;Galicia 2502;VILLA GENERAL MITRE;COMUNA 11;CALZADA;-34.6158;-58.4708
336;207;PLAZA ARENALES;Nueva York 3949;VILLA DEVOTO;COMUNA 11;VEREDA;-34.59973082956419;-58.51114585857785
340;359;PLAZA BALCARCE;Jaramillo 2324;NUÑEZ;COMUNA 13;CALZADA;-34.547632;-58.467946
342;218;CAMPANA;Campana 1523;VILLA SANTA RITA;COMUNA 11;CALZADA;-34.6168;-58.4843
348;231;MAGARIÑOS CERVANTES;Magariños Cervantes 2465;VILLA GENERAL MITRE;COMUNA 11;VEREDA;-34.6105;-58.4744
349;232;SUCRE Y MARTÍNEZ;Mcal. Antonio José de Sucre 3515;BELGRANO;COMUNA 13;CALZADA;-34.570508;-58.466323
353;237;MADERO OFFICE;Mariquita Sanchez De Thompson 367;PUERTO MADERO;COMUNA 1;CALZADA;-34.5991;-58.3643
355;242;PLAZOLETA RAFAEL DEL RIEGO;O` Higgins 1327;PALERMO;COMUNA 14;PLAZOLETA;-34.5674;-58.4464
358;249;BALBÍN;Conesa 2519;BELGRANO;COMUNA 13;CALZADA;-34.5614;-58.4656
359;250;FLENI;Montañeses 2292;BELGRANO;COMUNA 13;CALZADA;-34.5556;-58.4505
361;258;PLAZA J.J. PASO;Moldes 1399;COLEGIALES;COMUNA 13;CALZADA;-34.5691;-58.4537
362;262;HOLMBERG;Holmberg 2819;VILLA URQUIZA;COMUNA 12;VEREDA;-34.565922;-58.479912
363;354;JOSÉ MARTÍ ;Av. Eva Perón 3321 ;FLORES;COMUNA 7;VEREDA;-34.6441;-58.463
